,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2016-01-01,3.201891880476719,2.833204030731279,3.329661893468542,3.201891880476719,3.201891880476719,-0.13244327573698086,-0.13244327573698086,-0.13244327573698086,0.022687507273022805,0.022687507273022805,0.022687507273022805,-0.1551307830100037,-0.1551307830100037,-0.1551307830100037,0.0,0.0,0.0,3.0694486047397382
1,2016-01-04,3.1959050697789326,2.816527100409997,3.335794432923278,3.1959050697789326,3.1959050697789326,-0.14064077002736236,-0.14064077002736236,-0.14064077002736236,0.028476459987710395,0.028476459987710395,0.028476459987710395,-0.16911723001507276,-0.16911723001507276,-0.16911723001507276,0.0,0.0,0.0,3.0552642997515704
2,2016-01-05,3.1939094662130043,2.7956199005558786,3.321016309607102,3.1939094662130043,3.1939094662130043,-0.14259199869824973,-0.14259199869824973,-0.14259199869824973,0.02923616509055923,0.02923616509055923,0.02923616509055923,-0.17182816378880894,-0.17182816378880894,-0.17182816378880894,0.0,0.0,0.0,3.0513174675147545
3,2016-01-06,3.1919138626470756,2.7836788077199417,3.2899693360164677,3.1919138626470756,3.1919138626470756,-0.14728964638624475,-0.14728964638624475,-0.14728964638624475,0.026343755798773422,0.026343755798773422,0.026343755798773422,-0.1736334021850182,-0.1736334021850182,-0.1736334021850182,0.0,0.0,0.0,3.044624216260831
4,2016-01-07,3.189918259081147,2.7889052260045983,3.3025507344501217,3.189918259081147,3.189918259081147,-0.15029155821842574,-0.15029155821842574,-0.15029155821842574,0.024318621205880506,0.024318621205880506,0.024318621205880506,-0.17461017942430626,-0.17461017942430626,-0.17461017942430626,0.0,0.0,0.0,3.039626700862721
5,2016-01-08,3.187922655515218,2.7897006518161387,3.276665533062991,3.187922655515218,3.187922655515218,-0.15216917259418655,-0.15216917259418655,-0.15216917259418655,0.022687507272966864,0.022687507272966864,0.022687507272966864,-0.17485667986715342,-0.17485667986715342,-0.17485667986715342,0.0,0.0,0.0,3.0357534829210313
6,2016-01-11,3.181935844817432,2.766136638639444,3.3001844919710375,3.181935844817432,3.181935844817432,-0.14397665465184153,-0.14397665465184153,-0.14397665465184153,0.028476459987781824,0.028476459987781824,0.028476459987781824,-0.17245311463962332,-0.17245311463962332,-0.17245311463962332,0.0,0.0,0.0,3.0379591901655907
7,2016-01-12,3.1799402412515034,2.809242599373228,3.3020016380950787,3.1799402412515034,3.1799402412515034,-0.1418433785142985,-0.1418433785142985,-0.1418433785142985,0.0292361650908002,0.0292361650908002,0.0292361650908002,-0.17107954360509872,-0.17107954360509872,-0.17107954360509872,0.0,0.0,0.0,3.0380968627372047
8,2016-01-13,3.177944637685575,2.7621269847392,3.292314115415282,3.177944637685575,3.177944637685575,-0.1433318769533265,-0.1433318769533265,-0.1433318769533265,0.02634375579852873,0.02634375579852873,0.02634375579852873,-0.16967563275185524,-0.16967563275185524,-0.16967563275185524,0.0,0.0,0.0,3.034612760732249
9,2016-01-14,3.175949034119646,2.775919215457314,3.2802834673835326,3.175949034119646,3.175949034119646,-0.1440788635715619,-0.1440788635715619,-0.1440788635715619,0.024318621205530456,0.024318621205530456,0.024318621205530456,-0.16839748477709238,-0.16839748477709238,-0.16839748477709238,0.0,0.0,0.0,3.031870170548084
10,2016-01-15,3.1739534305537176,2.7524105250722353,3.283285442223315,3.1739534305537176,3.1739534305537176,-0.14470978052944025,-0.14470978052944025,-0.14470978052944025,0.022687507273004122,0.022687507273004122,0.022687507273004122,-0.1673972878024444,-0.1673972878024444,-0.1673972878024444,0.0,0.0,0.0,3.029243650024277
11,2016-01-18,3.1679666198559313,2.7695720595586013,3.2781675736999465,3.1679666198559313,3.1679666198559313,-0.1389705621361067,-0.1389705621361067,-0.1389705621361067,0.028476459987853243,0.028476459987853243,0.028476459987853243,-0.16744702212395993,-0.16744702212395993,-0.16744702212395993,0.0,0.0,0.0,3.0289960577198247
12,2016-01-19,3.165971016290003,2.774298667615053,3.297748598695951,3.165971016290003,3.165971016290003,-0.1396343712547271,-0.1396343712547271,-0.1396343712547271,0.029236165090894807,0.029236165090894807,0.029236165090894807,-0.1688705363456219,-0.1688705363456219,-0.1688705363456219,0.0,0.0,0.0,3.026336645035276
13,2016-01-20,3.163975412724074,2.7637815595452633,3.2651950028419705,3.163975412724074,3.163975412724074,-0.14480315085486237,-0.14480315085486237,-0.14480315085486237,0.026343755798911718,0.026343755798911718,0.026343755798911718,-0.1711469066537741,-0.1711469066537741,-0.1711469066537741,0.0,0.0,0.0,3.0191722618692114
14,2016-01-21,3.1619798091581455,2.7619039115377526,3.275329534079712,3.1619798091581455,3.1619798091581455,-0.15001488187213174,-0.15001488187213174,-0.15001488187213174,0.0243186212057512,0.0243186212057512,0.0243186212057512,-0.17433350307788295,-0.17433350307788295,-0.17433350307788295,0.0,0.0,0.0,3.0119649272860136
15,2016-01-22,3.1599842055922167,2.7244565141976813,3.2631290148402656,3.1599842055922167,3.1599842055922167,-0.15577649051426495,-0.15577649051426495,-0.15577649051426495,0.02268750727311122,0.02268750727311122,0.02268750727311122,-0.17846399778737615,-0.17846399778737615,-0.17846399778737615,0.0,0.0,0.0,3.0042077150779516
